,Movie Name,Year of Release,Rating,Genre,Runtime,No. of Voters,Director and Cast
0,The Kashmir Files,-2022,8.7,Drama,170 min,"5,66,396","    Director:Vivek Agnihotri|     Stars:Mithun Chakraborty, Anupam Kher, Darshan Kumaar, Pallavi Joshi"
1,3 Idiots,-2009,8.4,"Comedy, Drama",170 min,"4,10,106","    Director:Rajkumar Hirani|     Stars:Aamir Khan, Madhavan, Mona Singh, Sharman Joshi"
2,Taare Zameen Par,-2007,8.3,"Drama, Family",165 min,"1,97,665","    Directors:Aamir Khan, Amole Gupte|     Stars:Darsheel Safary, Aamir Khan, Tanay Chheda, Sachet Engineer"
3,Dangal,-2016,8.3,"Action, Biography, Drama",161 min,"1,96,895","    Director:Nitesh Tiwari|     Stars:Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra"
4,PK,-2014,8.1,"Comedy, Drama, Sci-Fi",153 min,"1,92,821","    Director:Rajkumar Hirani|     Stars:Aamir Khan, Anushka Sharma, Sanjay Dutt, Boman Irani"
5,Radhe,-2021,1.9,"Action, Crime, Thriller",109 min,"1,78,664","    Director:Prabhu Deva|     Stars:Salman Khan, Disha Patani, Randeep Hooda, Jackie Shroff"
6,Laal Singh Chaddha,-2022,5.5,"Comedy, Drama, Romance",159 min,"1,75,514","    Director:Advait Chandan|     Stars:Aamir Khan, Ahmad Ibn Umar, Kareena Kapoor, Hafsa Ashraf"
7,Pathaan,-2023,6,"Action, Adventure, Thriller",146 min,"1,38,884","    Director:Siddharth Anand|     Stars:Shah Rukh Khan, Deepika Padukone, John Abraham, Dimple Kapadia"
8,Dil Bechara,-2020,8.4,"Comedy, Drama, Romance",101 min,"1,32,492","    Director:Mukesh Chhabra|     Stars:Sushant Singh Rajput, Sanjana Sanghi, Sahil Vaid, Saswata Chatterjee"
9,Shershaah,-2021,8.3,"Action, Biography, Drama",135 min,"1,24,539","    Director:Vishnuvardhan|     Stars:Sidharth Malhotra, Kiara Advani, Shiv Panditt, Pranay Pachauri"
10,Rang De Basanti,-2006,8.1,"Comedy, Crime, Drama",167 min,"1,20,389","    Director:Rakeysh Omprakash Mehra|     Stars:Aamir Khan, Soha Ali Khan, Siddharth, Sharman Joshi"
11,Lagaan: Once Upon a Time in India,-2001,8.1,"Drama, Musical, Sport",224 min,"1,16,811","    Director:Ashutosh Gowariker|     Stars:Aamir Khan, Raghuvir Yadav, Gracy Singh, Rachel Shelley"
12,My Name Is Khan,-2010,7.9,"Adventure, Drama, Romance",165 min,"1,10,705","    Director:Karan Johar|     Stars:Shah Rukh Khan, Kajol, Sheetal Menon, Katie Amanda Keane"
13,Brahmastra Part One: Shiva,-2022,5.5,"Action, Adventure, Fantasy",167 min,"1,08,410","    Director:Ayan Mukerji|     Stars:Amitabh Bachchan, Ranbir Kapoor, Alia Bhatt, Nagarjuna Akkineni"
14,Gangs of Wasseypur,-2012,8.2,"Action, Comedy, Crime",321 min,"99,180","    Director:Anurag Kashyap|     Stars:Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia, Richa Chadha"
15,Andhadhun,-2018,8.2,"Crime, Mystery, Thriller",139 min,"96,915","    Director:Sriram Raghavan|     Stars:Tabu, Ayushmann Khurrana, Radhika Apte, Anil Dhawan"
16,Sadak 2,-2020,1.2,"Action, Drama",133 min,"96,240","    Director:Mahesh Bhatt|     Stars:Alia Bhatt, Sanjay Dutt, Aditya Roy Kapoor, Priyanka Bose"
17,"Swades: We, the People",-2004,8.2,"Drama, Musical",210 min,"93,511","    Director:Ashutosh Gowariker|     Stars:Shah Rukh Khan, Gayatri Joshi, Kishori Ballal, Smith Seth"
18,Bajrangi Bhaijaan,-2015,8.1,"Action, Adventure, Comedy",163 min,"91,731","    Directors:Kabir Khan, Mehmet Tutkun|     Stars:Salman Khan, Harshaali Malhotra, Nawazuddin Siddiqui, Kareena Kapoor"
19,Drishyam,-2015,8.2,"Crime, Drama, Mystery",163 min,"88,301","    Director:Nishikant Kamat|     Stars:Ajay Devgn, Shriya Saran, Tabu, Rajat Kapoor"
20,Munna Bhai M.B.B.S.,-2003,8.1,"Comedy, Drama",156 min,"84,413","    Director:Rajkumar Hirani|     Stars:Sanjay Dutt, Arshad Warsi, Gracy Singh, Boman Irani"
21,Barfi!,-2012,8.1,"Comedy, Drama, Romance",151 min,"83,914","    Director:Anurag Basu|     Stars:Ranbir Kapoor, Priyanka Chopra Jonas, Ileana D'Cruz, Saurabh Shukla"
22,Zindagi Na Milegi Dobara,-2011,8.2,"Comedy, Drama, Musical",155 min,"81,207","    Director:Zoya Akhtar|     Stars:Hrithik Roshan, Farhan Akhtar, Abhay Deol, Katrina Kaif"
23,A Wednesday,-2008,8.1,"Action, Crime, Drama",104 min,"80,136","    Director:Neeraj Pandey|     Stars:Anupam Kher, Naseeruddin Shah, Veerendra Saxena, Mahesh Kanual"
24,Sooryavanshi,-2021,6.1,"Action, Crime, Thriller",145 min,"77,870","    Director:Rohit Shetty|     Stars:Akshay Kumar, Katrina Kaif, Ajay Devgn, Ranveer Singh"
25,Coolie No. 1,-2020,4.2,"Action, Comedy, Romance",134 min,"73,838","    Director:David Dhawan|     Stars:Varun Dhawan, Sara Ali Khan, Paresh Rawal, Jaaved Jaaferi"
26,Dil Chahta Hai,-2001,8.1,"Comedy, Drama, Romance",183 min,"73,727","    Director:Farhan Akhtar|     Stars:Aamir Khan, Saif Ali Khan, Akshaye Khanna, Preity G Zinta"
27,Dilwale Dulhania Le Jayenge,-1995,8,"Drama, Romance",189 min,"72,869","    Director:Aditya Chopra|     Stars:Shah Rukh Khan, Kajol, Amrish Puri, Farida Jalal"
28,Kal Ho Naa Ho,-2003,7.9,"Comedy, Drama, Musical",186 min,"71,801","    Director:Nikkhil Advani|     Stars:Preity G Zinta, Shah Rukh Khan, Saif Ali Khan, Jaya Bachchan"
29,Kick,-2014,6,"Action, Comedy, Crime",146 min,"71,216","    Director:Sajid Nadiadwala|     Stars:Salman Khan, Jacqueline Fernandez, Nawazuddin Siddiqui, Randeep Hooda"
30,Bhaag Milkha Bhaag,-2013,8.2,"Biography, Drama, Sport",186 min,"69,705","    Director:Rakeysh Omprakash Mehra|     Stars:Farhan Akhtar, Japtej Singh, Divya Dutta, Pawan Malhotra"
31,Hera Pheri,-2000,8.1,"Action, Comedy, Crime",156 min,"69,309","    Director:Priyadarshan|     Stars:Akshay Kumar, Suniel Shetty, Paresh Rawal, Tabu"
32,Queen,-2013,8.1,"Adventure, Comedy, Drama",146 min,"66,977","    Director:Vikas Bahl|     Stars:Kangana Ranaut, Rajkummar Rao, Lisa Haydon, Jeffrey Ho"
33,Uri: The Surgical Strike,-2019,8.2,"Action, Drama, History",138 min,"66,913","    Director:Aditya Dhar|     Stars:Vicky Kaushal, Paresh Rawal, Mohit Raina, Yami Gautam"
34,Hotel Mumbai,-2018,7.6,"Action, Drama, History",123 min,"66,852","    Director:Anthony Maras|     Stars:Dev Patel, Armie Hammer, Nazanin Boniadi, Anupam Kher"
35,Ghajini,-2008,7.3,"Action, Drama, Mystery",186 min,"64,110","    Director:A.R. Murugadoss|     Stars:Aamir Khan, Asin Thottumkal, Jiah Khan, Aamir Naik"
36,Kahaani,-2012,8.1,"Mystery, Thriller",122 min,"63,967","    Director:Sujoy Ghosh|     Stars:Vidya Balan, Parambrata Chattopadhyay, Indraneil Sengupta, Nawazuddin Siddiqui"
37,M.S. Dhoni: The Untold Story,-2016,7.9,"Biography, Drama, Sport",184 min,"62,770","    Directors:Mathur Goswami, Neeraj Pandey|     Stars:Sushant Singh Rajput, Kiara Advani, Anupam Kher, Disha Patani"
38,The White Tiger,-2021,7.1,"Crime, Drama",125 min,"62,668","    Director:Ramin Bahrani|     Stars:Adarsh Gourav, Rajkummar Rao, Priyanka Chopra Jonas, Vedant Sinha"
39,OMG: Oh My God!,-2012,8.1,"Comedy, Drama, Fantasy",125 min,"60,616","    Director:Umesh Shukla|     Stars:Paresh Rawal, Akshay Kumar, Mithun Chakraborty, Mahesh Manjrekar"
40,Gunday,-2014,2.6,"Action, Drama, Musical",152 min,"59,604","    Director:Ali Abbas Zafar|     Stars:Ranveer Singh, Arjun Kapoor, Priyanka Chopra Jonas, Irrfan Khan"
41,Baby,(I) (2015),7.9,"Action, Crime, Thriller",159 min,"58,769","    Director:Neeraj Pandey|     Stars:Akshay Kumar, Danny Denzongpa, Rana Daggubati, Taapsee Pannu"
42,Chennai Express,-2013,6.1,"Action, Comedy, Drama",141 min,"58,208","    Director:Rohit Shetty|     Stars:Deepika Padukone, Shah Rukh Khan, Sathyaraj, Nikitin Dheer"
43,The Lunchbox,-2013,7.8,"Drama, Romance",104 min,"58,034","    Director:Ritesh Batra|     Stars:Irrfan Khan, Nimrat Kaur, Nawazuddin Siddiqui, Lillete Dubey"
44,Gangubai Kathiawadi,-2022,7.8,"Biography, Crime, Drama",152 min,"57,969","    Director:Sanjay Leela Bhansali|     Stars:Alia Bhatt, Shantanu Maheshwari, Vijay Raaz, Indira Tiwari"
45,Laxmii,-2020,2.5,"Action, Comedy, Horror",141 min,"57,865","    Directors:Raghava Lawrence, Balakrishnan Thevar|     Stars:Akshay Kumar, Kiara Advani, Sharad Kelkar, Ashwini Kalsekar"
46,Airlift,-2016,7.9,"Action, Drama, History",130 min,"57,808","    Director:Raja Menon|     Stars:Akshay Kumar, Nimrat Kaur, Kumud Mishra, Prakash Belawadi"
47,Chhichhore,-2019,8.3,"Comedy, Drama, Romance",143 min,"57,587","    Director:Nitesh Tiwari|     Stars:Sushant Singh Rajput, Shraddha Kapoor, Varun Sharma, Prateik Babbar"
48,Special Chabbis,-2013,8,"Crime, Drama, Thriller",144 min,"57,432","    Director:Neeraj Pandey|     Stars:Akshay Kumar, Anupam Kher, Manoj Bajpayee, Jimmy Shergill"
49,Sholay,-1975,8.1,"Action, Adventure, Comedy",204 min,"57,008","    Director:Ramesh Sippy|     Stars:Sanjeev Kumar, Dharmendra, Amitabh Bachchan, Amjad Khan"
50,Sanju,-2018,7.6,"Biography, Comedy, Drama",155 min,"56,864","    Director:Rajkumar Hirani|     Stars:Ranbir Kapoor, Paresh Rawal, Manisha Koirala, Vicky Kaushal"
51,Jab Tak Hai Jaan,-2012,6.7,"Drama, Romance",198 min,"56,821","    Director:Yash Chopra|     Stars:Shah Rukh Khan, Katrina Kaif, Anushka Sharma, Anupam Kher"
52,Shamshera,-2022,4.7,"Action, Adventure, Drama",178 min,"56,678","    Director:Karan Malhotra|     Stars:Ranbir Kapoor, Sanjay Dutt, Vaani Kapoor, Saurabh Shukla"
53,Haider,-2014,8,"Action, Crime, Drama",160 min,"56,025","    Director:Vishal Bhardwaj|     Stars:Shahid Kapoor, Tabu, Shraddha Kapoor, Kay Kay Menon"
54,Dasvi,-2022,7.8,"Comedy, Drama",125 min,"55,820","    Director:Tushar Jalota|     Stars:Abhishek Bachchan, Nimrat Kaur, Yami Gautam, Manu Rishi Chadha"
55,Jab We Met,-2007,7.9,"Comedy, Drama, Romance",138 min,"55,555","    Director:Imtiaz Ali|     Stars:Shahid Kapoor, Kareena Kapoor, Tarun Arora, Dara Singh Randhawa"
56,Don 2,-2011,7,"Action, Crime, Thriller",148 min,"55,208","    Director:Farhan Akhtar|     Stars:Shah Rukh Khan, Florian Lukas, Om Puri, Priyanka Chopra Jonas"
57,Veer-Zaara,-2004,7.8,"Drama, Family, Musical",192 min,"54,842","    Director:Yash Chopra|     Stars:Shah Rukh Khan, Preity G Zinta, Rani Mukerji, Kirron Kher"
58,Kuch Kuch Hota Hai,-1998,7.5,"Comedy, Drama, Musical",177 min,"54,531","    Director:Karan Johar|     Stars:Shah Rukh Khan, Kajol, Rani Mukerji, Sana Saeed"
59,Andaz Apna Apna,-1994,8,"Action, Comedy, Romance",160 min,"54,164","    Director:Rajkumar Santoshi|     Stars:Aamir Khan, Salman Khan, Raveena Tandon, Karisma Kapoor"
60,Samrat Prithviraj,-2022,5.8,"Action, Drama, History",135 min,"53,132","    Director:Chandra Prakash Dwivedi|     Stars:Akshay Kumar, Sanjay Dutt, Ashutosh Rana, Manushi Chhillar"
61,Rocketry: The Nambi Effect,-2022,8.8,"Biography, Drama",157 min,"53,120","    Director:Madhavan|     Stars:Madhavan, Simran, Rajit Kapoor, Ravi Raghavendra"
62,Tumbbad,-2018,8.2,"Drama, Fantasy, Horror",104 min,"52,713","    Directors:Rahi Anil Barve, Anand Gandhi, Adesh Prasad|     Stars:Sohum Shah, Jyoti Malshe, Anita Date-Kelkar, Ronjini Chakraborty"
63,Toofaan,-2021,6.3,"Action, Drama, Sport",163 min,"51,764","    Director:Rakeysh Omprakash Mehra|     Stars:Farhan Akhtar, Mrunal Thakur, Paresh Rawal, Mohan Agashe"
64,Rab Ne Bana Di Jodi,-2008,7.2,"Comedy, Drama, Music",167 min,"50,571","    Director:Aditya Chopra|     Stars:Shah Rukh Khan, Anushka Sharma, Vinay Pathak, M.K. Raina"
65,The Kerala Story,-2023,7.6,"Drama, History",138 min,"49,537","    Directors:Sudipto Sen, Vipul Amrutlal Shah|     Stars:Adah Sharma, Yogita Bihani, Sonia Balani, Siddhi Idnani"
66,Sultan,-2016,7,"Action, Drama, Romance",170 min,"48,823","    Director:Ali Abbas Zafar|     Stars:Salman Khan, Anushka Sharma, Randeep Hooda, Amit Sadh"
67,Lage Raho Munna Bhai,-2006,8,"Comedy, Drama, Romance",144 min,"48,122","    Director:Rajkumar Hirani|     Stars:Sanjay Dutt, Arshad Warsi, Vidya Balan, Boman Irani"
68,Chor Nikal Ke Bhaga,-2023,7.8,"Crime, Drama, Thriller",110 min,"47,943","    Director:Ajay Singh|     Stars:Yami Gautam, Sunny Kaushal, Sharad Kelkar, Indraneil Sengupta"
69,Yeh Jawaani Hai Deewani,-2013,7.2,"Comedy, Drama, Musical",160 min,"47,743","    Director:Ayan Mukerji|     Stars:Ranbir Kapoor, Deepika Padukone, Aditya Roy Kapoor, Kalki Koechlin"
70,Dhoom:3,-2013,5.4,"Action, Crime, Drama",172 min,"47,582","    Director:Vijay Krishna Acharya|     Stars:Aamir Khan, Katrina Kaif, Abhishek Bachchan, Uday Chopra"
71,Fan,(I) (2016),6.9,"Action, Drama, Thriller",142 min,"47,486","    Director:Maneesh Sharma|     Stars:Shah Rukh Khan, Shriya Pilgaonkar, Sayani Gupta, Waluscha D'Souza"
72,Race 3,-2018,1.9,"Action, Crime, Thriller",160 min,"47,460","    Director:Remo D'Souza|     Stars:Anil Kapoor, Salman Khan, Bobby Deol, Jacqueline Fernandez"
73,Raees,-2017,6.6,"Action, Crime, Drama",143 min,"47,400","    Director:Rahul Dholakia|     Stars:Sunny Leone, Shah Rukh Khan, Nawazuddin Siddiqui, Jaideep Ahlawat"
74,Liger,-2022,2.7,"Action, Drama, Romance",140 min,"46,650","    Director:Puri Jagannadh|     Stars:Mike Tyson, Vijay Deverakonda, Ananya Panday, Ronit Roy"
75,Pink,(III) (2016),8.1,"Crime, Drama, Thriller",136 min,"46,376","    Director:Aniruddha Roy Chowdhury|     Stars:Amitabh Bachchan, Taapsee Pannu, Kirti Kulhari, Andrea Tariang"
76,Rockstar,-2011,7.7,"Drama, Music, Romance",159 min,"46,231","    Director:Imtiaz Ali|     Stars:Ranbir Kapoor, Nargis Fakhri, Shammi Kapoor, Kumud Mishra"
77,Om Shanti Om,-2007,6.7,"Action, Comedy, Drama",162 min,"46,129","    Director:Farah Khan|     Stars:Shah Rukh Khan, Deepika Padukone, Arjun Rampal, Kirron Kher"
78,Udaan,-2010,8.1,Drama,134 min,"45,827","    Director:Vikramaditya Motwane|     Stars:Rajat Barmecha, Ronit Roy, Manjot Singh, Ram Kapoor"
79,Vicky Donor,-2012,7.8,"Comedy, Romance",126 min,"44,283","    Director:Shoojit Sircar|     Stars:Ayushmann Khurrana, Yami Gautam, Annu Kapoor, Dolly Ahluwalia"
80,Devdas,(I) (2002),7.5,"Drama, Musical, Romance",185 min,"44,088","    Director:Sanjay Leela Bhansali|     Stars:Shah Rukh Khan, Aishwarya Rai Bachchan, Madhuri Dixit, Jackie Shroff"
81,Sardar Udham,-2021,8.4,"Biography, Crime, Drama",164 min,"44,033","    Director:Shoojit Sircar|     Stars:Vicky Kaushal, Shaun Scott, Stephen Hogan, Amol Parashar"
82,Gehraiyaan,-2022,5.8,"Drama, Romance",148 min,"43,859","    Director:Shakun Batra|     Stars:Deepika Padukone, Ananya Panday, Naseeruddin Shah, Rajat Kapoor"
83,Jayeshbhai Jordaar,-2022,6,"Comedy, Drama",121 min,"43,578","    Director:Divyang Thakkar|     Stars:Pratik Nanda, Ranveer Singh, Shalini Pandey, Boman Irani"
84,Talaash,-2012,7.2,"Crime, Drama, Mystery",140 min,"43,555","    Directors:Reema Kagti, Priyamvada Narayanan|     Stars:Aamir Khan, Kareena Kapoor, Rani Mukerji, Nawazuddin Siddiqui"
85,Dhamaka,-2021,7.1,"Crime, Drama, Thriller",103 min,"41,796","    Directors:Ram Madhvani, Heavenveer Singh Hayer|     Stars:Kartik Aaryan, Mrunal Thakur, Amruta Subhash, Soham Majumdar"
86,Antim: The Final Truth,-2021,6.7,"Action, Crime, Drama",138 min,"41,610","    Director:Mahesh Manjrekar|     Stars:Salman Khan, Aayush Sharma, Mahima Makwana, Mahesh Manjrekar"
87,Dear Zindagi,-2016,7.4,"Drama, Romance",151 min,"41,512","    Director:Gauri Shinde|     Stars:Alia Bhatt, Shah Rukh Khan, Kunal Kapoor, Priyanka Moodley"
88,Mission Majnu,-2023,7.4,"Action, Drama, History",129 min,"41,397","    Director:Shantanu Bagchi|     Stars:Sidharth Malhotra, Rashmika Mandanna, Parmeet Sethi, Zakir Hussain"
89,Gully Boy,-2019,7.9,"Drama, Music, Romance",154 min,"41,234","    Director:Zoya Akhtar|     Stars:Ranveer Singh, Alia Bhatt, Siddhant Chaturvedi, Vijay Raaz"
90,Ludo,-2020,7.6,"Action, Comedy, Crime",149 min,"41,135","    Director:Anurag Basu|     Stars:Pankaj Tripathi, Abhishek Bachchan, Rajkummar Rao, Fatima Sana Shaikh"
91,Mimi,(I) (2021),7.9,"Comedy, Drama",132 min,"40,922","    Directors:Rajesh Bhatia, Laxman Utekar|     Stars:Kriti Sanon, Evelyn Edwards, Pankaj Tripathi, Sai Tamhankar"
92,83,-2021,7.5,"Biography, Drama, History",162 min,"38,997","    Director:Kabir Khan|     Stars:Ranveer Singh, Deepika Padukone, Tahir Raj Bhasin, Jiiva"
93,Happy New Year,(I) (2014),4.9,"Action, Comedy, Crime",180 min,"38,872","    Director:Farah Khan|     Stars:Shah Rukh Khan, Deepika Padukone, Abhishek Bachchan, Boman Irani"
94,Don,(I) (2006),7.1,"Action, Crime, Thriller",178 min,"38,847","    Director:Farhan Akhtar|     Stars:Shah Rukh Khan, Priyanka Chopra Jonas, Arjun Rampal, Isha Koppikar"
95,Jug Jugg Jeeyo,-2022,6.1,"Comedy, Drama, Family",148 min,"37,948","    Director:Raj Mehta|     Stars:Varun Dhawan, Anil Kapoor, Kiara Advani, Neetu Singh"
96,Kai po che!,-2013,7.8,"Drama, Sport",130 min,"37,802","    Director:Abhishek Kapoor|     Stars:Amit Sadh, Sushant Singh Rajput, Rajkummar Rao, Amrita Puri"
97,Main Hoon Na,-2004,7,"Action, Comedy, Drama",179 min,"37,685","    Director:Farah Khan|     Stars:Shah Rukh Khan, Sushmita Sen, Suniel Shetty, Zayed Khan"
98,English Vinglish,-2012,7.8,"Comedy, Drama, Family",134 min,"37,530","    Director:Gauri Shinde|     Stars:Sridevi, Adil Hussain, Mehdi Nebbou, Priya Anand"
99,Paan Singh Tomar,-2012,8.2,"Action, Biography, Crime",135 min,"37,009","    Director:Tigmanshu Dhulia|     Stars:Irrfan Khan, Mahie Gill, Rajesh Abhay, Hemendra Dandotiya"
100,Bajirao Mastani,-2015,7.2,"Action, Drama, History",158 min,"36,839","    Director:Sanjay Leela Bhansali|     Stars:Ranveer Singh, Deepika Padukone, Priyanka Chopra Jonas, Tanvi Azmi"
101,Drishyam 2,-2022,8.2,"Crime, Drama, Mystery",140 min,"36,456","    Director:Abhishek Pathak|     Stars:Ajay Devgn, Akshaye Khanna, Tabu, Shriya Saran"
102,Dilwale,-2015,5,"Action, Comedy, Drama",158 min,"36,440","    Director:Rohit Shetty|     Stars:Shah Rukh Khan, Kajol, Varun Dhawan, Kriti Sanon"
103,Talvar,-2015,8.1,"Crime, Drama, Mystery",132 min,"36,421","    Director:Meghna Gulzar|     Stars:Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi, Sohum Shah"
104,Ek Tha Tiger,-2012,5.6,"Action, Adventure, Romance",132 min,"36,179","    Directors:Mathur Goswami, Kabir Khan|     Stars:Salman Khan, Katrina Kaif, Girish Karnad, Roshan Seth"
105,Bachchhan Paandey,-2022,5.2,"Action, Comedy, Crime",147 min,"36,140","    Director:Farhad Samji|     Stars:Akshay Kumar, Kriti Sanon, Jacqueline Fernandez, Pankaj Tripathi"
106,Badhaai ho,-2018,7.9,"Comedy, Drama",124 min,"35,929","    Director:Amit Ravindernath Sharma|     Stars:Ayushmann Khurrana, Neena Gupta, Gajraj Rao, Sanya Malhotra"
107,Kisi Ka Bhai Kisi Ki Jaan,-2023,6.8,"Action, Comedy, Drama",145 min,"35,729","    Director:Farhad Samji|     Stars:Salman Khan, Pooja Hegde, Venkatesh Daggubati, Aamir Naik"
108,Stree,-2018,7.5,"Comedy, Horror",128 min,"35,721","    Director:Amar Kaushik|     Stars:Ashish Chhipa, Rajkummar Rao, Shraddha Kapoor, Pankaj Tripathi"
109,Kabir Singh,-2019,7,"Action, Drama, Romance",173 min,"35,696","    Director:Sandeep Reddy Vanga|     Stars:Shahid Kapoor, Kiara Advani, Nikita Dutta, Soham Majumdar"
